row_key,system_id,experiment_family,node,hardware,timing_kind,comparable_with_end_to_end,comparability_class,accuracy_raw_distribution_common_denominator,accuracy_vocabulary_supported,trainable_parameters,total_loaded_parameters,checkpoint_footprint_bytes,warm_serial_median_ms,across_pass_spread_ms,cached_image_question_side_ms,cached_feature_head_only_ms,throughput_qps,peak_allocated_mib,peak_reserved_mib,training_gpu_hours,evaluation_gpu_hours,precision,batch_size,timing_methodology,evidence_status,source_artefact
E7b::e8a_a1::cached_image_question_side,e8a_a1::cached_image_question_side,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,CACHED_IMAGE_QUESTION_SIDE,False,E7b/otter155 cached_image_question_side,0.44332,0.57493,21395044,307187365,,,,13.6346,,,,,,,fp32 inference,1,"warm median, features pre-cached",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::fusion,fusion,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,END_TO_END_SERIAL,True,E7b/otter155 serial,0.45062,0.58439,1100388,152377701,,7.6351,0.8903,1.9499,0.042,131.0,766.1,852.0,,,fp32 inference,1,"warm median over a fixed serial sample, three passes, per-pass medians and across-pass spread reported",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::fusion::cached_feature_head_only,fusion::cached_feature_head_only,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,CACHED_FEATURE_HEAD_ONLY,False,E7b/otter155 cached_feature_head_only,0.45062,0.58439,1100388,152377701,,,,,0.042,,,,,,fp32 inference,1,"warm median, features pre-cached",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::fusion::cached_image_question_side,fusion::cached_image_question_side,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,CACHED_IMAGE_QUESTION_SIDE,False,E7b/otter155 cached_image_question_side,0.45062,0.58439,1100388,152377701,,,,1.9499,,,,,,,fp32 inference,1,"warm median, features pre-cached",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::question_only,question_only,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,END_TO_END_SERIAL,True,E7b/otter155 serial,0.38864,0.50402,313956,151591269,,1.9603,0.0133,,0.0235,510.1,623.2,690.0,,,fp32 inference,1,"warm median over a fixed serial sample, three passes, per-pass medians and across-pass spread reported",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::question_only::cached_feature_head_only,question_only::cached_feature_head_only,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,CACHED_FEATURE_HEAD_ONLY,False,E7b/otter155 cached_feature_head_only,0.38864,0.50402,313956,151591269,,,,,0.0235,,,,,,fp32 inference,1,"warm median, features pre-cached",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::reasoner,reasoner,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,END_TO_END_SERIAL,True,E7b/otter155 serial,0.45602,0.59139,21099620,172376933,,9.1719,0.9211,3.367,1.3577,109.0,842.6,950.0,,,fp32 inference,1,"warm median over a fixed serial sample, three passes, per-pass medians and across-pass spread reported",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::reasoner::cached_feature_head_only,reasoner::cached_feature_head_only,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,CACHED_FEATURE_HEAD_ONLY,False,E7b/otter155 cached_feature_head_only,0.45602,0.59139,21099620,172376933,,,,,1.3577,,,,,,fp32 inference,1,"warm median, features pre-cached",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::reasoner::cached_image_question_side,reasoner::cached_image_question_side,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,CACHED_IMAGE_QUESTION_SIDE,False,E7b/otter155 cached_image_question_side,0.45602,0.59139,21099620,172376933,,,,3.367,,,,,,,fp32 inference,1,"warm median, features pre-cached",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::siglip_fusion,siglip_fusion,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,END_TO_END_SERIAL,True,E7b/otter155 serial,0.45792,0.59386,1624676,204780646,,9.8433,0.077,2.2798,0.0482,101.6,1293.7,1510.0,,,fp32 inference,1,"warm median over a fixed serial sample, three passes, per-pass medians and across-pass spread reported",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::siglip_fusion::cached_feature_head_only,siglip_fusion::cached_feature_head_only,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,CACHED_FEATURE_HEAD_ONLY,False,E7b/otter155 cached_feature_head_only,0.45792,0.59386,1624676,204780646,,,,,0.0482,,,,,,fp32 inference,1,"warm median, features pre-cached",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::siglip_fusion::cached_image_question_side,siglip_fusion::cached_image_question_side,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,CACHED_IMAGE_QUESTION_SIDE,False,E7b/otter155 cached_image_question_side,0.45792,0.59386,1624676,204780646,,,,2.2798,,,,,,,fp32 inference,1,"warm median, features pre-cached",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::vocab1000_product,vocab1000_product,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,END_TO_END_SERIAL,True,E7b/otter155 serial,0.4905,0.49954,1299944,152577257,,7.6708,0.0966,1.9313,0.0356,130.4,766.9,852.0,,,fp32 inference,1,"warm median over a fixed serial sample, three passes, per-pass medians and across-pass spread reported",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::vocab1000_product::cached_feature_head_only,vocab1000_product::cached_feature_head_only,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,CACHED_FEATURE_HEAD_ONLY,False,E7b/otter155 cached_feature_head_only,0.4905,0.49954,1299944,152577257,,,,,0.0356,,,,,,fp32 inference,1,"warm median, features pre-cached",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::vocab1000_product::cached_image_question_side,vocab1000_product::cached_image_question_side,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,CACHED_IMAGE_QUESTION_SIDE,False,E7b/otter155 cached_image_question_side,0.4905,0.49954,1299944,152577257,,,,1.9313,,,,,,,fp32 inference,1,"warm median, features pre-cached",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E9::e8b_B1,e8b_B1,E9,otter159.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,END_TO_END_SERIAL,True,E9/otter159 serial,,,21100132,172377445,84442935,10.242,0.4224,,,97.637,,760.0,,,fp32 inference,1,"E7b serial protocol imported read-only; warmup 50, iterations 300, passes 3, pass-order seed 20260810",VERIFIED,results/experiments/e9_compact_vlm/e9_results.json
E9::e8b_B2_R2,e8b_B2_R2,E9,otter159.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,END_TO_END_SERIAL,True,E9/otter159 serial,,,21343808,307136129,85417591,39.7326,1.4689,,,25.168,,1324.0,,,fp32 inference,1,"E7b serial protocol imported read-only; warmup 50, iterations 300, passes 3, pass-order seed 20260810",VERIFIED,results/experiments/e9_compact_vlm/e9_results.json
E9::e8b_B2_R3,e8b_B2_R3,E9,otter159.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,END_TO_END_SERIAL,True,E9/otter159 serial,,,21343808,307136129,85417591,39.2394,1.2055,,,25.485,,1324.0,,,fp32 inference,1,"E7b serial protocol imported read-only; warmup 50, iterations 300, passes 3, pass-order seed 20260810",VERIFIED,results/experiments/e9_compact_vlm/e9_results.json
E9::e8b_B3_R2,e8b_B3_R2,E9,otter159.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,END_TO_END_SERIAL,True,E9/otter159 serial,,,21343808,307136129,85417591,39.6561,0.4844,,,25.217,,1324.0,,,fp32 inference,1,"E7b serial protocol imported read-only; warmup 50, iterations 300, passes 3, pass-order seed 20260810",VERIFIED,results/experiments/e9_compact_vlm/e9_results.json
E9::e8b_B3_R3,e8b_B3_R3,E9,otter159.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,END_TO_END_SERIAL,True,E9/otter159 serial,,,21343808,307136129,85417591,38.7963,0.372,,,25.776,,1324.0,,,fp32 inference,1,"E7b serial protocol imported read-only; warmup 50, iterations 300, passes 3, pass-order seed 20260810",VERIFIED,results/experiments/e9_compact_vlm/e9_results.json
E9::e9_256m_constrained,e9_256m_constrained,E9,otter159.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,END_TO_END_SERIAL,True,E9/otter159 serial,,,0,256484928,512969856,142.6747,0.7703,,,7.009,,1150.0,,,fp32 inference,1,"E7b serial protocol imported read-only; warmup 50, iterations 300, passes 3, pass-order seed 20260810",VERIFIED,results/experiments/e9_compact_vlm/e9_results.json
E9::e9_256m_open,e9_256m_open,E9,otter159.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,END_TO_END_SERIAL,True,E9/otter159 serial,,,0,256484928,512969856,140.907,1.3031,,,7.097,,1152.0,,,fp32 inference,1,"E7b serial protocol imported read-only; warmup 50, iterations 300, passes 3, pass-order seed 20260810",VERIFIED,results/experiments/e9_compact_vlm/e9_results.json
E9::e9_500m_constrained,e9_500m_constrained,E9,otter159.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,END_TO_END_SERIAL,True,E9/otter159 serial,,,0,507482304,1014964608,152.854,1.2409,,,6.542,,1822.0,,,fp32 inference,1,"E7b serial protocol imported read-only; warmup 50, iterations 300, passes 3, pass-order seed 20260810",VERIFIED,results/experiments/e9_compact_vlm/e9_results.json
E9::e9_500m_open,e9_500m_open,E9,otter159.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,END_TO_END_SERIAL,True,E9/otter159 serial,,,0,507482304,1014964608,151.3801,1.2941,,,6.606,,1822.0,,,fp32 inference,1,"E7b serial protocol imported read-only; warmup 50, iterations 300, passes 3, pass-order seed 20260810",VERIFIED,results/experiments/e9_compact_vlm/e9_results.json
E9::fusion,fusion,E9,otter159.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,END_TO_END_SERIAL,True,E9/otter159 serial,,,1100388,152377701,4404289,6.2081,0.0179,,,161.08,,656.0,,,fp32 inference,1,"E7b serial protocol imported read-only; warmup 50, iterations 300, passes 3, pass-order seed 20260810",VERIFIED,results/experiments/e9_compact_vlm/e9_results.json
E9::vocab1000_product,vocab1000_product,E9,otter159.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,END_TO_END_SERIAL,True,E9/otter159 serial,,,1299944,152577257,5202443,6.199,0.0827,,,161.316,,656.0,,,fp32 inference,1,"E7b serial protocol imported read-only; warmup 50, iterations 300, passes 3, pass-order seed 20260810",VERIFIED,results/experiments/e9_compact_vlm/e9_results.json
