slice_id,family,arm,scale,slice_kind,slice,quantity,point_estimate,ci95_image_clustered,n_questions,n_unique_images,cluster_unit,counts_provenance,n_resamples,rng_seed,training_seeds,across_training_seed_sd_ddof1,metric,analysis_role,comparison_status,source
E8A/A1/train_250k/semantic:obj/accuracy,E8A,A1,train_250k,semantic,obj,accuracy,0.6792,0.65826 0.69989,1170,547,represented development imageId,INFERENCE,2000,0,0 1 2,0.0116,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_250k/semantic:rel/accuracy,E8A,A1,train_250k,semantic,rel,accuracy,0.58081,0.56113 0.59975,2978,570,represented development imageId,INFERENCE,2000,0,0 1 2,0.00356,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_250k/steps:3/accuracy,E8A,A1,train_250k,steps,3,accuracy,0.53383,0.51646 0.5514,3330,658,represented development imageId,INFERENCE,2000,0,0 1 2,0.0063,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_250k/steps:4/accuracy,E8A,A1,train_250k,steps,4,accuracy,0.55057,0.5213 0.58095,870,396,represented development imageId,INFERENCE,2000,0,0 1 2,0.01494,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_250k/steps:<=2/accuracy,E8A,A1,train_250k,steps,<=2,accuracy,0.58667,0.57193 0.60214,2400,674,represented development imageId,INFERENCE,2000,0,0 1 2,0.00375,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_250k/steps:>=5/accuracy,E8A,A1,train_250k,steps,>=5,accuracy,0.67923,0.65904 0.70012,1114,531,represented development imageId,INFERENCE,2000,0,0 1 2,0.00363,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_250k/structural:choose/accuracy,E8A,A1,train_250k,structural,choose,accuracy,0.64651,0.62404 0.66972,1042,465,represented development imageId,INFERENCE,2000,0,0 1 2,0.01877,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_250k/structural:compare/accuracy,E8A,A1,train_250k,structural,compare,accuracy,0.60927,0.56982 0.64605,302,226,represented development imageId,INFERENCE,2000,0,0 1 2,0.00574,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_250k/structural:logical/accuracy,E8A,A1,train_250k,structural,logical,accuracy,0.65534,0.63589 0.67464,1236,561,represented development imageId,INFERENCE,2000,0,0 1 2,0.00821,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_250k/structural:query/accuracy,E8A,A1,train_250k,structural,query,accuracy,0.50784,0.48643 0.5307,3104,687,represented development imageId,INFERENCE,2000,0,0 1 2,0.00963,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_250k/structural:verify/accuracy,E8A,A1,train_250k,structural,verify,accuracy,0.57997,0.56411 0.59534,2030,615,represented development imageId,INFERENCE,2000,0,0 1 2,0.00978,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_40k/semantic:attr/accuracy,E8A,A1,train_40k,semantic,attr,accuracy,0.48032,0.46625 0.49449,2964,691,represented development imageId,INFERENCE,2000,0,0 1 2,0.00693,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_40k/semantic:cat/accuracy,E8A,A1,train_40k,semantic,cat,accuracy,0.58162,0.53218 0.63017,439,219,represented development imageId,INFERENCE,2000,0,0 1 2,0.00948,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_40k/semantic:global/accuracy,E8A,A1,train_40k,semantic,global,accuracy,0.73824,0.68888 0.78788,163,133,represented development imageId,INFERENCE,2000,0,0 1 2,0.03088,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_40k/semantic:obj/accuracy,E8A,A1,train_40k,semantic,obj,accuracy,0.57151,0.55063 0.59325,1170,547,represented development imageId,INFERENCE,2000,0,0 1 2,0.0089,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_40k/semantic:rel/accuracy,E8A,A1,train_40k,semantic,rel,accuracy,0.54052,0.52044 0.56073,2978,570,represented development imageId,INFERENCE,2000,0,0 1 2,0.00185,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_40k/steps:3/accuracy,E8A,A1,train_40k,steps,3,accuracy,0.5011,0.48417 0.51797,3330,658,represented development imageId,INFERENCE,2000,0,0 1 2,0.00696,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_40k/steps:4/accuracy,E8A,A1,train_40k,steps,4,accuracy,0.53716,0.50736 0.56636,870,396,represented development imageId,INFERENCE,2000,0,0 1 2,0.01092,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_40k/steps:<=2/accuracy,E8A,A1,train_40k,steps,<=2,accuracy,0.54431,0.52861 0.55941,2400,674,represented development imageId,INFERENCE,2000,0,0 1 2,0.00596,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_40k/steps:>=5/accuracy,E8A,A1,train_40k,steps,>=5,accuracy,0.57032,0.54841 0.59131,1114,531,represented development imageId,INFERENCE,2000,0,0 1 2,0.01185,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_40k/structural:choose/accuracy,E8A,A1,train_40k,structural,choose,accuracy,0.60781,0.58279 0.63309,1042,465,represented development imageId,INFERENCE,2000,0,0 1 2,0.00308,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_40k/structural:compare/accuracy,E8A,A1,train_40k,structural,compare,accuracy,0.60927,0.56902 0.64955,302,226,represented development imageId,INFERENCE,2000,0,0 1 2,0.00574,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_40k/structural:logical/accuracy,E8A,A1,train_40k,structural,logical,accuracy,0.56499,0.54507 0.58542,1236,561,represented development imageId,INFERENCE,2000,0,0 1 2,0.01098,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_40k/structural:query/accuracy,E8A,A1,train_40k,structural,query,accuracy,0.47025,0.44792 0.49339,3104,687,represented development imageId,INFERENCE,2000,0,0 1 2,0.01145,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_40k/structural:verify/accuracy,E8A,A1,train_40k,structural,verify,accuracy,0.54302,0.52558 0.55872,2030,615,represented development imageId,INFERENCE,2000,0,0 1 2,0.00718,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_250k/semantic:attr/accuracy,E8A,A1r,train_250k,semantic,attr,accuracy,0.45502,0.44004 0.46978,2964,691,represented development imageId,INFERENCE,2000,0,0 1 2,0.00811,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_250k/semantic:cat/accuracy,E8A,A1r,train_250k,semantic,cat,accuracy,0.58238,0.52739 0.63471,439,219,represented development imageId,INFERENCE,2000,0,0 1 2,0.01027,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_250k/semantic:global/accuracy,E8A,A1r,train_250k,semantic,global,accuracy,0.818,0.76483 0.87026,163,133,represented development imageId,INFERENCE,2000,0,0 1 2,0.01874,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_250k/semantic:obj/accuracy,E8A,A1r,train_250k,semantic,obj,accuracy,0.56439,0.5432 0.58565,1170,547,represented development imageId,INFERENCE,2000,0,0 1 2,0.01539,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_250k/semantic:rel/accuracy,E8A,A1r,train_250k,semantic,rel,accuracy,0.55418,0.53444 0.57452,2978,570,represented development imageId,INFERENCE,2000,0,0 1 2,0.0061,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_250k/steps:3/accuracy,E8A,A1r,train_250k,steps,3,accuracy,0.4972,0.47966 0.51452,3330,658,represented development imageId,INFERENCE,2000,0,0 1 2,0.00499,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_250k/steps:4/accuracy,E8A,A1r,train_250k,steps,4,accuracy,0.53142,0.50284 0.56164,870,396,represented development imageId,INFERENCE,2000,0,0 1 2,0.00351,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_250k/steps:<=2/accuracy,E8A,A1r,train_250k,steps,<=2,accuracy,0.54431,0.52815 0.56141,2400,674,represented development imageId,INFERENCE,2000,0,0 1 2,0.01156,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_250k/steps:>=5/accuracy,E8A,A1r,train_250k,steps,>=5,accuracy,0.56014,0.5382 0.58441,1114,531,represented development imageId,INFERENCE,2000,0,0 1 2,0.00987,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_250k/structural:choose/accuracy,E8A,A1r,train_250k,structural,choose,accuracy,0.55694,0.53132 0.58231,1042,465,represented development imageId,INFERENCE,2000,0,0 1 2,0.00483,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_250k/structural:compare/accuracy,E8A,A1r,train_250k,structural,compare,accuracy,0.58609,0.54468 0.62431,302,226,represented development imageId,INFERENCE,2000,0,0 1 2,0.02628,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_250k/structural:logical/accuracy,E8A,A1r,train_250k,structural,logical,accuracy,0.55043,0.52929 0.57131,1236,561,represented development imageId,INFERENCE,2000,0,0 1 2,0.00965,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_250k/structural:query/accuracy,E8A,A1r,train_250k,structural,query,accuracy,0.48475,0.4618 0.50731,3104,687,represented development imageId,INFERENCE,2000,0,0 1 2,0.01104,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_250k/structural:verify/accuracy,E8A,A1r,train_250k,structural,verify,accuracy,0.54483,0.52865 0.56082,2030,615,represented development imageId,INFERENCE,2000,0,0 1 2,0.00793,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_40k/semantic:attr/accuracy,E8A,A1r,train_40k,semantic,attr,accuracy,0.42735,0.41473 0.44072,2964,691,represented development imageId,INFERENCE,2000,0,0 1 2,0.0023,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_40k/semantic:cat/accuracy,E8A,A1r,train_40k,semantic,cat,accuracy,0.51329,0.46008 0.56375,439,219,represented development imageId,INFERENCE,2000,0,0 1 2,0.01392,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_40k/semantic:global/accuracy,E8A,A1r,train_40k,semantic,global,accuracy,0.75665,0.70614 0.80503,163,133,represented development imageId,INFERENCE,2000,0,0 1 2,0.02554,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_40k/semantic:obj/accuracy,E8A,A1r,train_40k,semantic,obj,accuracy,0.55043,0.52998 0.57175,1170,547,represented development imageId,INFERENCE,2000,0,0 1 2,0.01343,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_40k/semantic:rel/accuracy,E8A,A1r,train_40k,semantic,rel,accuracy,0.51164,0.49322 0.5307,2978,570,represented development imageId,INFERENCE,2000,0,0 1 2,0.01343,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_40k/steps:3/accuracy,E8A,A1r,train_40k,steps,3,accuracy,0.46026,0.44394 0.47657,3330,658,represented development imageId,INFERENCE,2000,0,0 1 2,0.01207,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_40k/steps:4/accuracy,E8A,A1r,train_40k,steps,4,accuracy,0.50766,0.47792 0.53586,870,396,represented development imageId,INFERENCE,2000,0,0 1 2,0.00863,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_40k/steps:<=2/accuracy,E8A,A1r,train_40k,steps,<=2,accuracy,0.50069,0.48634 0.51615,2400,674,represented development imageId,INFERENCE,2000,0,0 1 2,0.01232,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_40k/steps:>=5/accuracy,E8A,A1r,train_40k,steps,>=5,accuracy,0.54488,0.52363 0.56579,1114,531,represented development imageId,INFERENCE,2000,0,0 1 2,0.00767,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_40k/structural:choose/accuracy,E8A,A1r,train_40k,structural,choose,accuracy,0.48305,0.45862 0.50734,1042,465,represented development imageId,INFERENCE,2000,0,0 1 2,0.00473,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_40k/structural:compare/accuracy,E8A,A1r,train_40k,structural,compare,accuracy,0.58278,0.54637 0.61939,302,226,represented development imageId,INFERENCE,2000,0,0 1 2,0.01721,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_40k/structural:logical/accuracy,E8A,A1r,train_40k,structural,logical,accuracy,0.5391,0.51933 0.55869,1236,561,represented development imageId,INFERENCE,2000,0,0 1 2,0.01663,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_40k/structural:query/accuracy,E8A,A1r,train_40k,structural,query,accuracy,0.44384,0.42288 0.4637,3104,687,represented development imageId,INFERENCE,2000,0,0 1 2,0.01102,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
