row_id,family,arm,scale,seed_set,n_training_seeds,per_seed_accuracy,mean,sd_across_training_seeds_ddof1,min,max,range,high_seed_dispersion,metric,split,source_artefact
E2/question_only/train_250k,E2,question_only,train_250k,0 1 2 3 42,5,"{""0"": 0.50104, ""1"": 0.4952, ""2"": 0.50428, ""3"": 0.50674, ""42"": 0.50454}",0.50236,0.00449,0.4952,0.50674,0.01154,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images), SigLIP store",results/experiments/e2_siglip/results.json
E2/question_only/train_40k,E2,question_only,train_40k,0 1 2 3 42,5,"{""0"": 0.46318, ""1"": 0.46746, ""2"": 0.46733, ""3"": 0.46811, ""42"": 0.46448}",0.46611,0.00215,0.46318,0.46811,0.00493,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images), SigLIP store",results/experiments/e2_siglip/results.json
E3/concat/train_250k,E3,concat,train_250k,0 1 2 3 42,5,"{""0"": 0.49231, ""1"": 0.48936, ""2"": 0.49303, ""3"": 0.48916, ""42"": 0.4917}",0.49111,0.00176,0.48916,0.49303,0.00387,False,v2_closed_vocab_top1_index_match,"E3 dev view (9,823 rows, 776 images)",results/experiments/e3_vocab1000/results.json
E3/concat/train_40k,E3,concat,train_40k,0 1 2 3 42,5,"{""0"": 0.43184, ""1"": 0.43062, ""2"": 0.43653, ""3"": 0.43296, ""42"": 0.43113}",0.43262,0.00236,0.43062,0.43653,0.00591,False,v2_closed_vocab_top1_index_match,"E3 dev view (9,823 rows, 776 images)",results/experiments/e3_vocab1000/results.json
E3/fusion/train_250k,E3,fusion,train_250k,0 1 2 3 42,5,"{""0"": 0.49516, ""1"": 0.49812, ""2"": 0.4918, ""3"": 0.49618, ""42"": 0.49608}",0.49547,0.00232,0.4918,0.49812,0.00632,False,v2_closed_vocab_top1_index_match,"E3 dev view (9,823 rows, 776 images)",results/experiments/e3_vocab1000/results.json
E3/fusion/train_40k,E3,fusion,train_40k,0 1 2 3 42,5,"{""0"": 0.44365, ""1"": 0.44752, ""2"": 0.44803, ""3"": 0.45017, ""42"": 0.44518}",0.44691,0.00254,0.44365,0.45017,0.00652,False,v2_closed_vocab_top1_index_match,"E3 dev view (9,823 rows, 776 images)",results/experiments/e3_vocab1000/results.json
E3/product/train_250k,E3,product,train_250k,0 1 2 3 42,5,"{""0"": 0.49954, ""1"": 0.49669, ""2"": 0.4973, ""3"": 0.50137, ""42"": 0.50239}",0.49946,0.00248,0.49669,0.50239,0.0057,False,v2_closed_vocab_top1_index_match,"E3 dev view (9,823 rows, 776 images)",results/experiments/e3_vocab1000/results.json
E3/product/train_40k,E3,product,train_40k,0 1 2 3 42,5,"{""0"": 0.44701, ""1"": 0.44141, ""2"": 0.44447, ""3"": 0.44223, ""42"": 0.44396}",0.44382,0.00218,0.44141,0.44701,0.0056,False,v2_closed_vocab_top1_index_match,"E3 dev view (9,823 rows, 776 images)",results/experiments/e3_vocab1000/results.json
E3/question_only/train_250k,E3,question_only,train_250k,0 1 2 3 42,5,"{""0"": 0.40476, ""1"": 0.40741, ""2"": 0.41077, ""3"": 0.4011, ""42"": 0.40721}",0.40625,0.00359,0.4011,0.41077,0.00967,False,v2_closed_vocab_top1_index_match,"E3 dev view (9,823 rows, 776 images)",results/experiments/e3_vocab1000/results.json
E3/question_only/train_40k,E3,question_only,train_40k,0 1 2 3 42,5,"{""0"": 0.36608, ""1"": 0.36761, ""2"": 0.3674, ""3"": 0.36842, ""42"": 0.3674}",0.36738,0.00084,0.36608,0.36842,0.00234,False,v2_closed_vocab_top1_index_match,"E3 dev view (9,823 rows, 776 images)",results/experiments/e3_vocab1000/results.json
E8A/A0p/train_250k,E8A,A0p,train_250k,0 1 2,3,"{""0"": 0.59463, ""1"": 0.59411, ""2"": 0.59463}",0.59446,0.0003,0.59411,0.59463,0.00052,False,G21 pinned normalised exact match,"v2 dev (7,714 rows, 768 images)",results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_40k,E8A,A0p,train_40k,0 1 2,3,"{""0"": 0.53578, ""1"": 0.54446, ""2"": 0.54109}",0.54044,0.00438,0.53578,0.54446,0.00868,False,G21 pinned normalised exact match,"v2 dev (7,714 rows, 768 images)",results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_250k,E8A,A1,train_250k,0 1 2,3,"{""0"": 0.57493, ""1"": 0.57221, ""2"": 0.57234}",0.57316,0.00153,0.57221,0.57493,0.00272,False,G21 pinned normalised exact match,"v2 dev (7,714 rows, 768 images)",results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_40k,E8A,A1,train_40k,0 1 2,3,"{""0"": 0.52541, ""1"": 0.53124, ""2"": 0.52917}",0.52861,0.00296,0.52541,0.53124,0.00583,False,G21 pinned normalised exact match,"v2 dev (7,714 rows, 768 images)",results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_250k,E8A,A1r,train_250k,0 1 2,3,"{""0"": 0.5302, ""1"": 0.52346, ""2"": 0.52074}",0.5248,0.00487,0.52074,0.5302,0.00946,False,G21 pinned normalised exact match,"v2 dev (7,714 rows, 768 images)",results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1r/train_40k,E8A,A1r,train_40k,0 1 2,3,"{""0"": 0.48976, ""1"": 0.4882, ""2"": 0.49326}",0.49041,0.00259,0.4882,0.49326,0.00506,False,G21 pinned normalised exact match,"v2 dev (7,714 rows, 768 images)",results/experiments/e8a_question_encoder/core_analysis_g21.json
E8B/B1/train_250k,E8B,B1,train_250k,0 1 2,3,"{""0"": 0.58841, ""1"": 0.59749, ""2"": 0.59593}",0.59394,0.00486,0.58841,0.59749,0.00908,False,G21 pinned normalised exact match,"v2 dev in-vocabulary (7,714 rows, 768 images)",results/experiments/e8b_readout_generation/e8b_final_report_20260810.json
E8B/B1/train_40k,E8B,B1,train_40k,0 1 2,3,"{""0"": 0.54952, ""1"": 0.54226, ""2"": 0.54343}",0.54507,0.0039,0.54226,0.54952,0.00726,False,G21 pinned normalised exact match,"v2 dev in-vocabulary (7,714 rows, 768 images)",results/experiments/e8b_readout_generation/e8b_final_report_20260810.json
E8B/B2/train_250k,E8B,B2,train_250k,0 1 2,3,"{""0"": 0.59593, ""1"": 0.60021, ""2"": 0.60643}",0.60086,0.00528,0.59593,0.60643,0.0105,False,G21 pinned normalised exact match,"v2 dev in-vocabulary (7,714 rows, 768 images)",results/experiments/e8b_readout_generation/e8b_final_report_20260810.json
E8B/B2/train_40k,E8B,B2,train_40k,0 1 2,3,"{""0"": 0.53215, ""1"": 0.53656, ""2"": 0.53306}",0.53392,0.00233,0.53215,0.53656,0.00441,False,G21 pinned normalised exact match,"v2 dev in-vocabulary (7,714 rows, 768 images)",results/experiments/e8b_readout_generation/e8b_final_report_20260810.json
E8B/B3/train_250k,E8B,B3,train_250k,0 1 2,3,"{""0"": 0.59826, ""1"": 0.59697, ""2"": 0.59308}",0.5961,0.0027,0.59308,0.59826,0.00518,False,G21 pinned normalised exact match,"v2 dev in-vocabulary (7,714 rows, 768 images)",results/experiments/e8b_readout_generation/e8b_final_report_20260810.json
E8B/B3/train_40k,E8B,B3,train_40k,0 1 2,3,"{""0"": 0.53124, ""1"": 0.47783, ""2"": 0.5188}",0.50929,0.02795,0.47783,0.53124,0.05341,True,G21 pinned normalised exact match,"v2 dev in-vocabulary (7,714 rows, 768 images)",results/experiments/e8b_readout_generation/e8b_final_report_20260810.json
v2_02/concat/train_40k,v2_02,concat,train_40k,0 1 2 3 42,5,"{""0"": 0.5223, ""1"": 0.5267, ""2"": 0.52722, ""3"": 0.52126, ""42"": 0.52243}",0.52398,0.00276,0.52126,0.52722,0.00596,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_02_multiseed/results.json
v2_02/fusion/train_40k,v2_02,fusion,train_40k,0 1 2 3 42,5,"{""0"": 0.53617, ""1"": 0.54083, ""2"": 0.54045, ""3"": 0.53811, ""42"": 0.53643}",0.5384,0.00218,0.53617,0.54083,0.00466,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_02_multiseed/results.json
v2_02/image_only/train_40k,v2_02,image_only,train_40k,0 1 2 3 42,5,"{""0"": 0.23425, ""1"": 0.2349, ""2"": 0.23438, ""3"": 0.23399, ""42"": 0.23438}",0.23438,0.00033,0.23399,0.2349,0.00091,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_02_multiseed/results.json
v2_02/question_only/train_40k,v2_02,question_only,train_40k,0 1 2 3 42,5,"{""0"": 0.45307, ""1"": 0.46072, ""2"": 0.45813, ""3"": 0.45904, ""42"": 0.45891}",0.45797,0.0029,0.45307,0.46072,0.00765,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_02_multiseed/results.json
v2_03/concat_wide/train_40k,v2_03,concat_wide,train_40k,0 1 2 3 42,5,"{""0"": 0.53565, ""1"": 0.53448, ""2"": 0.5328, ""3"": 0.53085, ""42"": 0.5293}",0.53262,0.00259,0.5293,0.53565,0.00635,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_03_param_match/results.json
v2_03/fusion_narrow/train_40k,v2_03,fusion_narrow,train_40k,0 1 2 3 42,5,"{""0"": 0.53228, ""1"": 0.5337, ""2"": 0.53552, ""3"": 0.53202, ""42"": 0.53358}",0.53342,0.00139,0.53202,0.53552,0.0035,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_03_param_match/results.json
v2_04/difference_576k/train_40k,v2_04,difference_576k,train_40k,0 1 2 3 42,5,"{""0"": 0.53306, ""1"": 0.53202, ""2"": 0.53345, ""3"": 0.535, ""42"": 0.53358}",0.53342,0.00107,0.53202,0.535,0.00298,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_04_ablation/results.json
v2_04/difference_natural/train_40k,v2_04,difference_natural,train_40k,0 1 2 3 42,5,"{""0"": 0.53358, ""1"": 0.53396, ""2"": 0.53396, ""3"": 0.53422, ""42"": 0.53422}",0.53399,0.00026,0.53358,0.53422,0.00064,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_04_ablation/results.json
v2_04/product_576k/train_40k,v2_04,product_576k,train_40k,0 1 2 3 42,5,"{""0"": 0.53072, ""1"": 0.5328, ""2"": 0.53721, ""3"": 0.53643, ""42"": 0.53059}",0.53355,0.00312,0.53059,0.53721,0.00662,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_04_ablation/results.json
v2_04/product_natural/train_40k,v2_04,product_natural,train_40k,0 1 2 3 42,5,"{""0"": 0.53539, ""1"": 0.53721, ""2"": 0.53643, ""3"": 0.53643, ""42"": 0.53811}",0.53671,0.00101,0.53539,0.53811,0.00272,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_04_ablation/results.json
v2_06/concat/shuffled/train_40k,v2_06,concat/shuffled,train_40k,0 1 2 3 42,5,"{""0"": 0.40511, ""1"": 0.40887, ""2"": 0.40394, ""3"": 0.41172, ""42"": 0.40485}",0.4069,0.00329,0.40394,0.41172,0.00778,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_06_reliance/results.json
v2_06/concat/zeroed/train_40k,v2_06,concat/zeroed,train_40k,0 1 2 3 42,5,"{""0"": 0.42339, ""1"": 0.42274, ""2"": 0.42442, ""3"": 0.42131, ""42"": 0.4287}",0.42411,0.0028,0.42131,0.4287,0.00739,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_06_reliance/results.json
v2_06/fusion/shuffled/train_40k,v2_06,fusion/shuffled,train_40k,0 1 2 3 42,5,"{""0"": 0.39124, ""1"": 0.39759, ""2"": 0.39577, ""3"": 0.39668, ""42"": 0.3972}",0.3957,0.00258,0.39124,0.39759,0.00635,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_06_reliance/results.json
v2_06/fusion/zeroed/train_40k,v2_06,fusion/zeroed,train_40k,0 1 2 3 42,5,"{""0"": 0.41613, ""1"": 0.42222, ""2"": 0.41457, ""3"": 0.42663, ""42"": 0.41846}",0.4196,0.00487,0.41457,0.42663,0.01206,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_06_reliance/results.json
v2_06/image_only/shuffled/train_40k,v2_06,image_only/shuffled,train_40k,0 1 2 3 42,5,"{""0"": 0.20158, ""1"": 0.21234, ""2"": 0.20599, ""3"": 0.22751, ""42"": 0.20638}",0.21076,0.01012,0.20158,0.22751,0.02593,True,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_06_reliance/results.json
v2_06/image_only/zeroed/train_40k,v2_06,image_only/zeroed,train_40k,0 1 2 3 42,5,"{""0"": 0.22466, ""1"": 0.22466, ""2"": 0.22466, ""3"": 0.22466, ""42"": 0.23075}",0.22588,0.00272,0.22466,0.23075,0.00609,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_06_reliance/results.json
v2_06/product_576k/shuffled/train_40k,v2_06,product_576k/shuffled,train_40k,0 1 2 3 42,5,"{""0"": 0.40563, ""1"": 0.40433, ""2"": 0.40368, ""3"": 0.40874, ""42"": 0.40459}",0.40539,0.002,0.40368,0.40874,0.00506,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_06_reliance/results.json
v2_06/product_576k/zeroed/train_40k,v2_06,product_576k/zeroed,train_40k,0 1 2 3 42,5,"{""0"": 0.4252, ""1"": 0.42235, ""2"": 0.42066, ""3"": 0.42053, ""42"": 0.4169}",0.42113,0.00302,0.4169,0.4252,0.0083,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_06_reliance/results.json
v2_06/question_only/shuffled/train_40k,v2_06,question_only/shuffled,train_40k,0 1 2 3 42,5,"{""0"": 0.45307, ""1"": 0.46072, ""2"": 0.45813, ""3"": 0.45904, ""42"": 0.45891}",0.45797,0.0029,0.45307,0.46072,0.00765,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_06_reliance/results.json
v2_06/question_only/zeroed/train_40k,v2_06,question_only/zeroed,train_40k,0 1 2 3 42,5,"{""0"": 0.45307, ""1"": 0.46072, ""2"": 0.45813, ""3"": 0.45904, ""42"": 0.45891}",0.45797,0.0029,0.45307,0.46072,0.00765,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_06_reliance/results.json
v2_07/concat/train_100k,v2_07,concat,train_100k,0 1 2 3 42,5,"{""0"": 0.55069, ""1"": 0.54965, ""2"": 0.54822, ""3"": 0.55289, ""42"": 0.55276}",0.55084,0.00201,0.54822,0.55289,0.00467,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_07_scaling/results.json
v2_07/concat/train_250k,v2_07,concat,train_250k,0 1 2 3 42,5,"{""0"": 0.57661, ""1"": 0.577, ""2"": 0.58193, ""3"": 0.57648, ""42"": 0.58102}",0.57861,0.00264,0.57648,0.58193,0.00545,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_07_scaling/results.json
v2_07/concat/train_40k,v2_07,concat,train_40k,0 1 2 3 42,5,"{""0"": 0.5223, ""1"": 0.5267, ""2"": 0.52722, ""3"": 0.52126, ""42"": 0.52243}",0.52398,0.00276,0.52126,0.52722,0.00596,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_07_scaling/results.json
v2_07/fusion/train_100k,v2_07,fusion,train_100k,0 1 2 3 42,5,"{""0"": 0.56365, ""1"": 0.56521, ""2"": 0.56339, ""3"": 0.55847, ""42"": 0.56469}",0.56308,0.00268,0.55847,0.56521,0.00674,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_07_scaling/results.json
v2_07/fusion/train_250k,v2_07,fusion,train_250k,0 1 2 3 42,5,"{""0"": 0.58439, ""1"": 0.58128, ""2"": 0.58089, ""3"": 0.58439, ""42"": 0.58037}",0.58226,0.00197,0.58037,0.58439,0.00402,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_07_scaling/results.json
v2_07/fusion/train_40k,v2_07,fusion,train_40k,0 1 2 3 42,5,"{""0"": 0.53617, ""1"": 0.54083, ""2"": 0.54045, ""3"": 0.53811, ""42"": 0.53643}",0.5384,0.00218,0.53617,0.54083,0.00466,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_07_scaling/results.json
v2_07/product_576k/train_100k,v2_07,product_576k,train_100k,0 1 2 3 42,5,"{""0"": 0.56274, ""1"": 0.56352, ""2"": 0.56054, ""3"": 0.56637, ""42"": 0.56508}",0.56365,0.00223,0.56054,0.56637,0.00583,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_07_scaling/results.json
v2_07/product_576k/train_250k,v2_07,product_576k,train_250k,0 1 2 3 42,5,"{""0"": 0.58271, ""1"": 0.57921, ""2"": 0.58763, ""3"": 0.58167, ""42"": 0.58089}",0.58242,0.00318,0.57921,0.58763,0.00842,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_07_scaling/results.json
v2_07/product_576k/train_40k,v2_07,product_576k,train_40k,0 1 2 3 42,5,"{""0"": 0.53072, ""1"": 0.5328, ""2"": 0.53721, ""3"": 0.53643, ""42"": 0.53059}",0.53355,0.00312,0.53059,0.53721,0.00662,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_07_scaling/results.json
v2_07/question_only/train_100k,v2_07,question_only,train_100k,0 1 2 3 42,5,"{""0"": 0.48146, ""1"": 0.48172, ""2"": 0.4838, ""3"": 0.48263, ""42"": 0.48509}",0.48294,0.00151,0.48146,0.48509,0.00363,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_07_scaling/results.json
v2_07/question_only/train_250k,v2_07,question_only,train_250k,0 1 2 3 42,5,"{""0"": 0.50402, ""1"": 0.49287, ""2"": 0.49767, ""3"": 0.49948, ""42"": 0.49443}",0.49769,0.00439,0.49287,0.50402,0.01115,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_07_scaling/results.json
v2_07/question_only/train_40k,v2_07,question_only,train_40k,0 1 2 3 42,5,"{""0"": 0.45307, ""1"": 0.46072, ""2"": 0.45813, ""3"": 0.45904, ""42"": 0.45891}",0.45797,0.0029,0.45307,0.46072,0.00765,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v2_07_scaling/results.json
v3_03/reasoner/train_100k,v3_03,reasoner,train_100k,0 1 2,3,"{""0"": 0.57078, ""1"": 0.57065, ""2"": 0.57039}",0.57061,0.0002,0.57039,0.57078,0.00039,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v3_03_scaling/results.json
v3_03/reasoner/train_250k,v3_03,reasoner,train_250k,0 1 2,3,"{""0"": 0.59139, ""1"": 0.59165, ""2"": 0.60436}",0.5958,0.00741,0.59139,0.60436,0.01297,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images)",results/experiments/v3_03_scaling/results.json
