row id,family,system,scale,metric,seed set,per-seed accuracies,mean,"sd (training seeds, ddof=1)",range,high dispersion,checkpoint selection,evidence id
v2_06/concat/shuffled/train_40k,v2_06,concat/shuffled,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.40690,0.00329,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_06.concat.shuffled.train_40k
v2_06/concat/zeroed/train_40k,v2_06,concat/zeroed,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.42411,0.00280,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_06.concat.zeroed.train_40k
v2_06/fusion/shuffled/train_40k,v2_06,fusion/shuffled,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.39570,0.00258,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_06.fusion.shuffled.train_40k
v2_06/fusion/zeroed/train_40k,v2_06,fusion/zeroed,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.41960,0.00487,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_06.fusion.zeroed.train_40k
v2_06/image_only/shuffled/train_40k,v2_06,image_only/shuffled,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.21076,0.01012,not bound in VE-0,yes,BEST_ON_DEVELOPMENT,EV-SEED-v2_06.image_only.shuffled.train_40k
v2_06/image_only/zeroed/train_40k,v2_06,image_only/zeroed,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.22588,0.00272,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_06.image_only.zeroed.train_40k
v2_06/product_576k/shuffled/train_40k,v2_06,product_576k/shuffled,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.40539,0.00200,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_06.product_576k.shuffled.train_40k
v2_06/product_576k/zeroed/train_40k,v2_06,product_576k/zeroed,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.42113,0.00302,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_06.product_576k.zeroed.train_40k
v2_06/question_only/shuffled/train_40k,v2_06,question_only/shuffled,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.45797,0.00290,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_06.question_only.shuffled.train_40k
v2_06/question_only/zeroed/train_40k,v2_06,question_only/zeroed,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.45797,0.00290,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_06.question_only.zeroed.train_40k
v2_07/concat/train_100k,v2_07,concat,100k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.55084,0.00201,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_07.concat.train_100k
v2_07/concat/train_250k,v2_07,concat,250k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.57861,0.00264,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_07.concat.train_250k
v2_07/concat/train_40k,v2_07,concat,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.52398,0.00276,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_07.concat.train_40k
v2_07/fusion/train_100k,v2_07,fusion,100k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.56308,0.00268,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_07.fusion.train_100k
v2_07/fusion/train_250k,v2_07,fusion,250k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.58226,0.00197,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_07.fusion.train_250k
v2_07/fusion/train_40k,v2_07,fusion,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.53840,0.00218,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_07.fusion.train_40k
v2_07/product_576k/train_100k,v2_07,product_576k,100k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.56365,0.00223,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_07.product_576k.train_100k
v2_07/product_576k/train_250k,v2_07,product_576k,250k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.58242,0.00318,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_07.product_576k.train_250k
v2_07/product_576k/train_40k,v2_07,product_576k,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.53355,0.00312,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_07.product_576k.train_40k
v2_07/question_only/train_100k,v2_07,question_only,100k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.48294,0.00151,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_07.question_only.train_100k
v2_07/question_only/train_250k,v2_07,question_only,250k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.49769,0.00439,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_07.question_only.train_250k
v2_07/question_only/train_40k,v2_07,question_only,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.45797,0.00290,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_07.question_only.train_40k
v3_03/reasoner/train_100k,v3_03,reasoner,100k,v2_closed_vocab_top1_index_match,"0, 1, 2",not bound in VE-0,0.57061,0.00020,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v3_03.reasoner.train_100k
v3_03/reasoner/train_250k,v3_03,reasoner,250k,v2_closed_vocab_top1_index_match,"0, 1, 2",not bound in VE-0,0.59580,0.00741,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v3_03.reasoner.train_250k
