slice id,family,system,scale,slice kind,slice,quantity,metric,point estimate,95% CI (image-clustered),n questions,n images,counts provenance,evidence id
v2_02/concat/train_40k/structural:logical/accuracy,v2_02,concat,40k,structural,structural:logical,accuracy on the structural slice logical,v2_closed_vocab_top1_index_match,0.57848,"[0.55481, 0.60342]",1236,561,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.structural-logical.accuracy
v2_02/concat/train_40k/structural:query/accuracy,v2_02,concat,40k,structural,structural:query,accuracy on the structural slice query,v2_closed_vocab_top1_index_match,0.47951,"[0.45676, 0.50277]",3104,687,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.structural-query.accuracy
v2_02/concat/train_40k/structural:verify/accuracy,v2_02,concat,40k,structural,structural:verify,accuracy on the structural slice verify,v2_closed_vocab_top1_index_match,0.52345,"[0.50607, 0.54061]",2030,615,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.structural-verify.accuracy
v2_02/fusion/train_40k/semantic:attr/accuracy,v2_02,fusion,40k,semantic,semantic:attr,accuracy on the semantic slice attr,v2_closed_vocab_top1_index_match,0.46444,"[0.44697, 0.48159]",2964,691,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.semantic-attr.accuracy
v2_02/fusion/train_40k/semantic:cat/accuracy,v2_02,fusion,40k,semantic,semantic:cat,accuracy on the semantic slice cat,v2_closed_vocab_top1_index_match,0.56355,"[0.51162, 0.61340]",439,219,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.semantic-cat.accuracy
v2_02/fusion/train_40k/semantic:global/accuracy,v2_02,fusion,40k,semantic,semantic:global,accuracy on the semantic slice global,v2_closed_vocab_top1_index_match,0.80123,"[0.74267, 0.85522]",163,133,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.semantic-global.accuracy
v2_02/fusion/train_40k/semantic:obj/accuracy,v2_02,fusion,40k,semantic,semantic:obj,accuracy on the semantic slice obj,v2_closed_vocab_top1_index_match,0.64103,"[0.61682, 0.66633]",1170,547,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.semantic-obj.accuracy
v2_02/fusion/train_40k/semantic:rel/accuracy,v2_02,fusion,40k,semantic,semantic:rel,accuracy on the semantic slice rel,v2_closed_vocab_top1_index_match,0.55359,"[0.53251, 0.57507]",2978,570,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.semantic-rel.accuracy
v2_02/fusion/train_40k/steps:3/accuracy,v2_02,fusion,40k,program length,steps:3,accuracy on the steps slice 3,v2_closed_vocab_top1_index_match,0.50312,"[0.48459, 0.52153]",3330,658,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.steps-3.accuracy
v2_02/fusion/train_40k/steps:4/accuracy,v2_02,fusion,40k,program length,steps:4,accuracy on the steps slice 4,v2_closed_vocab_top1_index_match,0.53425,"[0.50284, 0.56727]",870,396,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.steps-4.accuracy
v2_02/fusion/train_40k/steps:>=5/accuracy,v2_02,fusion,40k,program length,steps: at least 5,accuracy on the steps slice >=5,v2_closed_vocab_top1_index_match,0.62334,"[0.59786, 0.64950]",1114,531,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.steps-ge5.accuracy
v2_02/fusion/train_40k/steps:<=2/accuracy,v2_02,fusion,40k,program length,steps: at most 2,accuracy on the steps slice <=2,v2_closed_vocab_top1_index_match,0.54942,"[0.53239, 0.56697]",2400,674,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.steps-le2.accuracy
v2_02/fusion/train_40k/structural:choose/accuracy,v2_02,fusion,40k,structural,structural:choose,accuracy on the structural slice choose,v2_closed_vocab_top1_index_match,0.55393,"[0.52733, 0.58099]",1042,465,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.structural-choose.accuracy
v2_02/fusion/train_40k/structural:compare/accuracy,v2_02,fusion,40k,structural,structural:compare,accuracy on the structural slice compare,v2_closed_vocab_top1_index_match,0.55364,"[0.50779, 0.60206]",302,226,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.structural-compare.accuracy
v2_02/fusion/train_40k/structural:logical/accuracy,v2_02,fusion,40k,structural,structural:logical,accuracy on the structural slice logical,v2_closed_vocab_top1_index_match,0.61650,"[0.59179, 0.64201]",1236,561,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.structural-logical.accuracy
v2_02/fusion/train_40k/structural:query/accuracy,v2_02,fusion,40k,structural,structural:query,accuracy on the structural slice query,v2_closed_vocab_top1_index_match,0.48015,"[0.45799, 0.50385]",3104,687,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.structural-query.accuracy
v2_02/fusion/train_40k/structural:verify/accuracy,v2_02,fusion,40k,structural,structural:verify,accuracy on the structural slice verify,v2_closed_vocab_top1_index_match,0.56966,"[0.55042, 0.58836]",2030,615,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.structural-verify.accuracy
