contrast id,family,metric,analysis role,comparison class,effect,95% CI (image-clustered),excludes zero,n questions,n images,training seeds,checkpoint selection,evidence id
e2/concat_minus_question_only/train_40k,e2,v2_closed_vocab_top1_index_match,SECONDARY,CAPACITY_CONFOUNDED,0.07327,"[0.06128, 0.08566]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-e2.concat_minus_question_only.train_40k
e2/fusion_minus_concat/train_250k,e2,v2_closed_vocab_top1_index_match,SECONDARY,CAPACITY_CONFOUNDED,0.00213,"[-0.00387, 0.00804]",false,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-e2.fusion_minus_concat.train_250k
e2/fusion_minus_concat/train_40k,e2,v2_closed_vocab_top1_index_match,SECONDARY,CAPACITY_CONFOUNDED,0.01377,"[0.00674, 0.02051]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-e2.fusion_minus_concat.train_40k
e2/product_minus_concat/train_250k,e2,v2_closed_vocab_top1_index_match,SECONDARY,CAPACITY_CONFOUNDED,0.00627,"[0.00069, 0.01182]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-e2.product_minus_concat.train_250k
e2/product_minus_concat/train_40k,e2,v2_closed_vocab_top1_index_match,SECONDARY,CAPACITY_CONFOUNDED,0.01089,"[0.00618, 0.01585]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-e2.product_minus_concat.train_40k
e2/siglip_minus_clip_concat/train_40k,e2,v2_closed_vocab_top1_index_match,SECONDARY,REPRESENTATION_CONFOUNDED,0.01540,"[0.00592, 0.02481]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-e2.siglip_minus_clip_concat.train_40k
e2/siglip_minus_clip_fusion/train_40k,e2,v2_closed_vocab_top1_index_match,SECONDARY,REPRESENTATION_CONFOUNDED,0.01475,"[0.00601, 0.02401]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-e2.siglip_minus_clip_fusion.train_40k
e2/siglip_minus_clip_product/train_40k,e2,v2_closed_vocab_top1_index_match,SECONDARY,REPRESENTATION_CONFOUNDED,0.01356,"[0.00403, 0.02282]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-e2.siglip_minus_clip_product.train_40k
e2/siglip_minus_clip_question_only/train_40k,e2,v2_closed_vocab_top1_index_match,SECONDARY,REPRESENTATION_CONFOUNDED,0.00814,"[-0.00006, 0.01586]",false,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-e2.siglip_minus_clip_question_only.train_40k
e3/concat_minus_question_only/train_250k,e3,v2_closed_vocab_top1_index_match,SECONDARY,CAPACITY_CONFOUNDED,0.08486,"[0.07413, 0.09498]",true,9823,776,5,BEST_ON_DEVELOPMENT,EV-CON-e3.concat_minus_question_only.train_250k
e3/concat_minus_question_only/train_40k,e3,v2_closed_vocab_top1_index_match,SECONDARY,CAPACITY_CONFOUNDED,0.06523,"[0.05578, 0.07423]",true,9823,776,5,BEST_ON_DEVELOPMENT,EV-CON-e3.concat_minus_question_only.train_40k
e3/fusion_minus_concat/train_250k,e3,v2_closed_vocab_top1_index_match,SECONDARY,CAPACITY_CONFOUNDED,0.00436,"[-0.00138, 0.00995]",false,9823,776,5,BEST_ON_DEVELOPMENT,EV-CON-e3.fusion_minus_concat.train_250k
e3/fusion_minus_concat/train_40k,e3,v2_closed_vocab_top1_index_match,SECONDARY,CAPACITY_CONFOUNDED,0.01429,"[0.00871, 0.02022]",true,9823,776,5,BEST_ON_DEVELOPMENT,EV-CON-e3.fusion_minus_concat.train_40k
e3/product_minus_concat/train_250k,e3,v2_closed_vocab_top1_index_match,SECONDARY,CAPACITY_CONFOUNDED,0.00835,"[0.00334, 0.01286]",true,9823,776,5,BEST_ON_DEVELOPMENT,EV-CON-e3.product_minus_concat.train_250k
e3/product_minus_concat/train_40k,e3,v2_closed_vocab_top1_index_match,SECONDARY,CAPACITY_CONFOUNDED,0.01120,"[0.00745, 0.01502]",true,9823,776,5,BEST_ON_DEVELOPMENT,EV-CON-e3.product_minus_concat.train_40k
v2_02/concat_minus_question_only/train_40k,v2_02,v2_closed_vocab_top1_index_match,PRIMARY,CAPACITY_CONFOUNDED,0.06601,"[0.05395, 0.07747]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_02.concat_minus_question_only.train_40k
v2_02/fusion_minus_concat/train_40k,v2_02,v2_closed_vocab_top1_index_match,PRIMARY,CAPACITY_CONFOUNDED,0.01442,"[0.00794, 0.02095]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_02.fusion_minus_concat.train_40k
v2_03/concat_wide_minus_concat/train_40k,v2_03,v2_closed_vocab_top1_index_match,PRIMARY,CLEAN_PAIRED_CONTROL,0.00863,"[0.00376, 0.01378]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_03.concat_wide_minus_concat.train_40k
v2_03/fusion_minus_concat_wide/train_40k,v2_03,v2_closed_vocab_top1_index_match,PRIMARY,CLEAN_PAIRED_CONTROL,0.00578,"[-0.00116, 0.01226]",false,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_03.fusion_minus_concat_wide.train_40k
v2_03/fusion_minus_fusion_narrow/train_40k,v2_03,v2_closed_vocab_top1_index_match,PRIMARY,CLEAN_PAIRED_CONTROL,0.00498,"[0.00025, 0.00967]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_03.fusion_minus_fusion_narrow.train_40k
v2_03/fusion_narrow_minus_concat/train_40k,v2_03,v2_closed_vocab_top1_index_match,PRIMARY,CLEAN_PAIRED_CONTROL,0.00944,"[0.00285, 0.01592]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_03.fusion_narrow_minus_concat.train_40k
v2_04/difference_576k_minus_concat/train_40k,v2_04,v2_closed_vocab_top1_index_match,SECONDARY,CLEAN_PAIRED_CONTROL,0.00944,"[0.00338, 0.01569]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_04.difference_576k_minus_concat.train_40k
v2_04/difference_natural_minus_concat/train_40k,v2_04,v2_closed_vocab_top1_index_match,SECONDARY,CAPACITY_CONFOUNDED,0.01001,"[0.00370, 0.01626]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_04.difference_natural_minus_concat.train_40k
v2_04/fusion_minus_difference_natural/train_40k,v2_04,v2_closed_vocab_top1_index_match,SECONDARY,CAPACITY_CONFOUNDED,0.00441,"[0.00077, 0.00784]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_04.fusion_minus_difference_natural.train_40k
v2_04/fusion_minus_product_natural/train_40k,v2_04,v2_closed_vocab_top1_index_match,SECONDARY,CAPACITY_CONFOUNDED,0.00169,"[-0.00383, 0.00734]",false,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_04.fusion_minus_product_natural.train_40k
v2_04/fusion_narrow_minus_difference_576k/train_40k,v2_04,v2_closed_vocab_top1_index_match,SECONDARY,CLEAN_PAIRED_CONTROL,-0.00000,"[-0.00402, 0.00398]",false,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_04.fusion_narrow_minus_difference_576k.train_40k
v2_04/fusion_narrow_minus_product_576k/train_40k,v2_04,v2_closed_vocab_top1_index_match,SECONDARY,CLEAN_PAIRED_CONTROL,-0.00013,"[-0.00654, 0.00551]",false,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_04.fusion_narrow_minus_product_576k.train_40k
v2_04/product_576k_minus_concat/train_40k,v2_04,v2_closed_vocab_top1_index_match,SECONDARY,CLEAN_PAIRED_CONTROL,0.00957,"[0.00495, 0.01415]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_04.product_576k_minus_concat.train_40k
v2_04/product_576k_minus_difference_576k/train_40k,v2_04,v2_closed_vocab_top1_index_match,SECONDARY,CLEAN_PAIRED_CONTROL,0.00013,"[-0.00552, 0.00569]",false,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_04.product_576k_minus_difference_576k.train_40k
v2_04/product_natural_minus_concat/train_40k,v2_04,v2_closed_vocab_top1_index_match,SECONDARY,CAPACITY_CONFOUNDED,0.01273,"[0.00811, 0.01741]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_04.product_natural_minus_concat.train_40k
v2_06/concat/drop_shuffled/train_40k,v2_06,v2_closed_vocab_top1_index_match,PRIMARY,CLEAN_PAIRED_CONTROL,0.11709,"[0.10295, 0.13035]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_06.concat.drop_shuffled.train_40k
v2_06/concat/drop_zeroed/train_40k,v2_06,v2_closed_vocab_top1_index_match,PRIMARY,CLEAN_PAIRED_CONTROL,0.09987,"[0.08697, 0.11228]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_06.concat.drop_zeroed.train_40k
v2_06/fusion/drop_shuffled/train_40k,v2_06,v2_closed_vocab_top1_index_match,PRIMARY,CLEAN_PAIRED_CONTROL,0.14270,"[0.12769, 0.15759]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_06.fusion.drop_shuffled.train_40k
v2_06/fusion/drop_zeroed/train_40k,v2_06,v2_closed_vocab_top1_index_match,PRIMARY,CLEAN_PAIRED_CONTROL,0.11880,"[0.10403, 0.13305]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_06.fusion.drop_zeroed.train_40k
v2_06/image_only/drop_shuffled/train_40k,v2_06,v2_closed_vocab_top1_index_match,PRIMARY,CLEAN_PAIRED_CONTROL,0.02362,"[0.01565, 0.03154]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_06.image_only.drop_shuffled.train_40k
v2_06/image_only/drop_zeroed/train_40k,v2_06,v2_closed_vocab_top1_index_match,PRIMARY,CLEAN_PAIRED_CONTROL,0.00850,"[-0.00093, 0.01774]",false,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_06.image_only.drop_zeroed.train_40k
v2_06/product_576k/drop_shuffled/train_40k,v2_06,v2_closed_vocab_top1_index_match,PRIMARY,CLEAN_PAIRED_CONTROL,0.12816,"[0.11355, 0.14209]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_06.product_576k.drop_shuffled.train_40k
v2_06/product_576k/drop_zeroed/train_40k,v2_06,v2_closed_vocab_top1_index_match,PRIMARY,CLEAN_PAIRED_CONTROL,0.11242,"[0.09854, 0.12576]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_06.product_576k.drop_zeroed.train_40k
v2_06/question_only/drop_shuffled/train_40k,v2_06,v2_closed_vocab_top1_index_match,PRIMARY,CLEAN_PAIRED_CONTROL,0.00000,"[0.00000, 0.00000]",false,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_06.question_only.drop_shuffled.train_40k
v2_06/question_only/drop_zeroed/train_40k,v2_06,v2_closed_vocab_top1_index_match,PRIMARY,CLEAN_PAIRED_CONTROL,0.00000,"[0.00000, 0.00000]",false,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-v2_06.question_only.drop_zeroed.train_40k
v3_02a/reasoner_minus_fusion_deficit/train_40k,v3_02a,v2_closed_vocab_top1_index_match,PRIMARY,SYSTEM_LEVEL_COMPARISON,0.00473,"[-0.00672, 0.01702]",false,7714,768,3,BEST_ON_DEVELOPMENT,EV-CON-v3_02a.reasoner_minus_fusion_deficit.train_40k
v3_03/reasoner_minus_fusion_deficit/train_100k,v3_03,v2_closed_vocab_top1_index_match,PRIMARY,SYSTEM_LEVEL_COMPARISON,-0.00037,"[-0.01211, 0.01057]",false,7714,768,3,BEST_ON_DEVELOPMENT,EV-CON-v3_03.reasoner_minus_fusion_deficit.train_100k
v3_03/reasoner_minus_fusion_deficit/train_250k,v3_03,v2_closed_vocab_top1_index_match,PRIMARY,SYSTEM_LEVEL_COMPARISON,-0.00275,"[-0.01323, 0.00760]",false,7714,768,3,BEST_ON_DEVELOPMENT,EV-CON-v3_03.reasoner_minus_fusion_deficit.train_250k
