slice id,family,system,scale,slice kind,slice,quantity,metric,point estimate,95% CI (image-clustered),n questions,n images,counts provenance,evidence id
E8A/A1/train_40k/semantic:cat/accuracy,E8A,A1,40k,semantic,semantic:cat,accuracy on the semantic slice cat,g21_pinned_normalised_exact_match,0.58162,"[0.53218, 0.63017]",439,219,NOT_APPLICABLE,EV-SLC-E8A.A1.train_40k.semantic-cat.accuracy
E8A/A1/train_40k/semantic:global/accuracy,E8A,A1,40k,semantic,semantic:global,accuracy on the semantic slice global,g21_pinned_normalised_exact_match,0.73824,"[0.68888, 0.78788]",163,133,NOT_APPLICABLE,EV-SLC-E8A.A1.train_40k.semantic-global.accuracy
E8A/A1/train_40k/semantic:obj/accuracy,E8A,A1,40k,semantic,semantic:obj,accuracy on the semantic slice obj,g21_pinned_normalised_exact_match,0.57151,"[0.55063, 0.59325]",1170,547,NOT_APPLICABLE,EV-SLC-E8A.A1.train_40k.semantic-obj.accuracy
E8A/A1/train_40k/semantic:rel/accuracy,E8A,A1,40k,semantic,semantic:rel,accuracy on the semantic slice rel,g21_pinned_normalised_exact_match,0.54052,"[0.52044, 0.56073]",2978,570,NOT_APPLICABLE,EV-SLC-E8A.A1.train_40k.semantic-rel.accuracy
E8A/A1/train_40k/steps:3/accuracy,E8A,A1,40k,program length,steps:3,accuracy on the steps slice 3,g21_pinned_normalised_exact_match,0.50110,"[0.48417, 0.51797]",3330,658,NOT_APPLICABLE,EV-SLC-E8A.A1.train_40k.steps-3.accuracy
E8A/A1/train_40k/steps:4/accuracy,E8A,A1,40k,program length,steps:4,accuracy on the steps slice 4,g21_pinned_normalised_exact_match,0.53716,"[0.50736, 0.56636]",870,396,NOT_APPLICABLE,EV-SLC-E8A.A1.train_40k.steps-4.accuracy
E8A/A1/train_40k/steps:>=5/accuracy,E8A,A1,40k,program length,steps: at least 5,accuracy on the steps slice at least 5,g21_pinned_normalised_exact_match,0.57032,"[0.54841, 0.59131]",1114,531,NOT_APPLICABLE,EV-SLC-E8A.A1.train_40k.steps-ge5.accuracy
E8A/A1/train_40k/steps:<=2/accuracy,E8A,A1,40k,program length,steps: at most 2,accuracy on the steps slice at most 2,g21_pinned_normalised_exact_match,0.54431,"[0.52861, 0.55941]",2400,674,NOT_APPLICABLE,EV-SLC-E8A.A1.train_40k.steps-le2.accuracy
E8A/A1r/train_40k/semantic:attr/accuracy,E8A,A1r,40k,semantic,semantic:attr,accuracy on the semantic slice attr,g21_pinned_normalised_exact_match,0.42735,"[0.41473, 0.44072]",2964,691,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_40k.semantic-attr.accuracy
E8A/A1r/train_40k/semantic:cat/accuracy,E8A,A1r,40k,semantic,semantic:cat,accuracy on the semantic slice cat,g21_pinned_normalised_exact_match,0.51329,"[0.46008, 0.56375]",439,219,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_40k.semantic-cat.accuracy
E8A/A1r/train_40k/semantic:global/accuracy,E8A,A1r,40k,semantic,semantic:global,accuracy on the semantic slice global,g21_pinned_normalised_exact_match,0.75665,"[0.70614, 0.80503]",163,133,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_40k.semantic-global.accuracy
E8A/A1r/train_40k/semantic:obj/accuracy,E8A,A1r,40k,semantic,semantic:obj,accuracy on the semantic slice obj,g21_pinned_normalised_exact_match,0.55043,"[0.52998, 0.57175]",1170,547,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_40k.semantic-obj.accuracy
E8A/A1r/train_40k/semantic:rel/accuracy,E8A,A1r,40k,semantic,semantic:rel,accuracy on the semantic slice rel,g21_pinned_normalised_exact_match,0.51164,"[0.49322, 0.53070]",2978,570,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_40k.semantic-rel.accuracy
E8A/A1r/train_40k/steps:3/accuracy,E8A,A1r,40k,program length,steps:3,accuracy on the steps slice 3,g21_pinned_normalised_exact_match,0.46026,"[0.44394, 0.47657]",3330,658,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_40k.steps-3.accuracy
E8A/A1r/train_40k/steps:4/accuracy,E8A,A1r,40k,program length,steps:4,accuracy on the steps slice 4,g21_pinned_normalised_exact_match,0.50766,"[0.47792, 0.53586]",870,396,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_40k.steps-4.accuracy
E8A/A1r/train_40k/steps:>=5/accuracy,E8A,A1r,40k,program length,steps: at least 5,accuracy on the steps slice at least 5,g21_pinned_normalised_exact_match,0.54488,"[0.52363, 0.56579]",1114,531,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_40k.steps-ge5.accuracy
E8A/A1r/train_40k/steps:<=2/accuracy,E8A,A1r,40k,program length,steps: at most 2,accuracy on the steps slice at most 2,g21_pinned_normalised_exact_match,0.50069,"[0.48634, 0.51615]",2400,674,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_40k.steps-le2.accuracy
