evidence_id,evidence_class,experiment_family,story_stage,scientific_role,source_key,quantity,canonical_source_path,canonical_source_sha256,split,training_scale,model_system,seed_set,n_training_seeds,point_estimate,across_training_seed_sd_ddof1,ci95,ci_type,cluster_unit,n_questions,n_unique_images,answer_set_size,metric_id,analysis_role,comparison_class,evidence_readiness,checkpoint_selection,excludes_zero,proposed_figure_use,proposed_table_use,proposed_dissertation_section,proposed_supervisor_slide,appendix_destination,mandatory_limitation
EV-ARM-e3.fusion.train_250k,ARM,e3,S00_OFF_SEQUENCE,APPENDIX,e3/fusion/train_250k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_1000_dev,train_250k,fusion,0|1|2|3|42,5,0.49547,0.00232,0.48321|0.50775,"evaluation-sampling, image-clustered",represented development imageId,9823,776,1000,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,VE0-FIG-A3,,R_APPENDIX_ANSWER_SET,,VE0-FIG-A3,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. Top-100 and top-1000 results are never paired: different development rows (7,714 against 9,823), a different class count and different training rows. Class competition and the smaller head-answer share of a fixed budget are confounded."
EV-ARM-e3.fusion.train_40k,ARM,e3,S00_OFF_SEQUENCE,APPENDIX,e3/fusion/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_1000_dev,train_40k,fusion,0|1|2|3|42,5,0.44691,0.00254,0.43553|0.45921,"evaluation-sampling, image-clustered",represented development imageId,9823,776,1000,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,VE0-FIG-A3,,R_APPENDIX_ANSWER_SET,,VE0-FIG-A3,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. Top-100 and top-1000 results are never paired: different development rows (7,714 against 9,823), a different class count and different training rows. Class competition and the smaller head-answer share of a fixed budget are confounded."
EV-ARM-e3.product.train_250k,ARM,e3,S00_OFF_SEQUENCE,APPENDIX,e3/product/train_250k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_1000_dev,train_250k,product,0|1|2|3|42,5,0.49946,0.00248,0.48765|0.5106,"evaluation-sampling, image-clustered",represented development imageId,9823,776,1000,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,VE0-FIG-A3,,R_APPENDIX_ANSWER_SET,,VE0-FIG-A3,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. Top-100 and top-1000 results are never paired: different development rows (7,714 against 9,823), a different class count and different training rows. Class competition and the smaller head-answer share of a fixed budget are confounded."
EV-ARM-e3.product.train_40k,ARM,e3,S00_OFF_SEQUENCE,APPENDIX,e3/product/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_1000_dev,train_40k,product,0|1|2|3|42,5,0.44382,0.00218,0.43255|0.45563,"evaluation-sampling, image-clustered",represented development imageId,9823,776,1000,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,VE0-FIG-A3,,R_APPENDIX_ANSWER_SET,,VE0-FIG-A3,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. Top-100 and top-1000 results are never paired: different development rows (7,714 against 9,823), a different class count and different training rows. Class competition and the smaller head-answer share of a fixed budget are confounded."
EV-ARM-e3.question_only.train_250k,ARM,e3,S00_OFF_SEQUENCE,APPENDIX,e3/question_only/train_250k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_1000_dev,train_250k,question_only,0|1|2|3|42,5,0.40625,0.00359,0.3963|0.41655,"evaluation-sampling, image-clustered",represented development imageId,9823,776,1000,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,VE0-FIG-A3,,R_APPENDIX_ANSWER_SET,,VE0-FIG-A3,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. Top-100 and top-1000 results are never paired: different development rows (7,714 against 9,823), a different class count and different training rows. Class competition and the smaller head-answer share of a fixed budget are confounded."
EV-ARM-e3.question_only.train_40k,ARM,e3,S00_OFF_SEQUENCE,APPENDIX,e3/question_only/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_1000_dev,train_40k,question_only,0|1|2|3|42,5,0.36738,0.00084,0.35698|0.37793,"evaluation-sampling, image-clustered",represented development imageId,9823,776,1000,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,VE0-FIG-A3,,R_APPENDIX_ANSWER_SET,,VE0-FIG-A3,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. Top-100 and top-1000 results are never paired: different development rows (7,714 against 9,823), a different class count and different training rows. Class competition and the smaller head-answer share of a fixed budget are confounded."
EV-ARM-v2_02.concat.train_40k,ARM,v2_02,S02_MULTIMODAL_FUSION,CORE,v2_02/concat/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_40k,concat,0|1|2|3|42,5,0.52398,0.00276,0.51265|0.53504,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,"best development epoch (early stopping on development accuracy, best-on-development checkpointing)",true,VE0-FIG-02,VE0-TAB-01,R1_BASELINES_AND_FUSION,SLIDE-04-FUSION-HELPS-BUT,NOT_APPLICABLE,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed."
EV-ARM-v2_02.fusion.train_40k,ARM,v2_02,S02_MULTIMODAL_FUSION,CORE,v2_02/fusion/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_40k,fusion,0|1|2|3|42,5,0.5384,0.00218,0.52679|0.55028,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,"best development epoch (early stopping on development accuracy, best-on-development checkpointing)",true,VE0-FIG-02,VE0-TAB-01,R1_BASELINES_AND_FUSION,SLIDE-04-FUSION-HELPS-BUT,NOT_APPLICABLE,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed."
EV-ARM-v2_02.image_only.train_40k,ARM,v2_02,S02_MULTIMODAL_FUSION,CORE,v2_02/image_only/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_40k,image_only,0|1|2|3|42,5,0.23438,0.00033,0.22586|0.24374,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,"best development epoch (early stopping on development accuracy, best-on-development checkpointing)",true,VE0-FIG-02,VE0-TAB-01,R1_BASELINES_AND_FUSION,SLIDE-04-FUSION-HELPS-BUT,NOT_APPLICABLE,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed."
EV-ARM-v2_02.question_only.train_40k,ARM,v2_02,S02_MULTIMODAL_FUSION,CORE,v2_02/question_only/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_40k,question_only,0|1|2|3|42,5,0.45797,0.0029,0.44717|0.46917,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,"best development epoch (early stopping on development accuracy, best-on-development checkpointing)",true,VE0-FIG-02,VE0-TAB-01,R1_BASELINES_AND_FUSION,SLIDE-04-FUSION-HELPS-BUT,NOT_APPLICABLE,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed."
EV-ARM-v2_03.concat_wide.train_40k,ARM,v2_03,S03_CAPACITY_MATCHING,CORE,v2_03/concat_wide/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_40k,concat_wide,0|1|2|3|42,5,0.53262,0.00259,0.52154|0.54394,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,VE0-FIG-02,VE0-TAB-01,R1_BASELINES_AND_FUSION,SLIDE-04-FUSION-HELPS-BUT,NOT_APPLICABLE,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed."
EV-ARM-v2_03.fusion_narrow.train_40k,ARM,v2_03,S03_CAPACITY_MATCHING,CORE,v2_03/fusion_narrow/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_40k,fusion_narrow,0|1|2|3|42,5,0.53342,0.00139,0.5213|0.54546,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,VE0-FIG-02,VE0-TAB-01,R1_BASELINES_AND_FUSION,SLIDE-04-FUSION-HELPS-BUT,NOT_APPLICABLE,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed."
EV-ARM-v2_04.difference_576k.train_40k,ARM,v2_04,S04_FEATURE_ABLATION,SUPPORTING,v2_04/difference_576k/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_40k,difference_576k,0|1|2|3|42,5,0.53342,0.00107,0.52195|0.54497,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,,,,,NOT_APPLICABLE,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed."
EV-ARM-v2_04.difference_natural.train_40k,ARM,v2_04,S04_FEATURE_ABLATION,SUPPORTING,v2_04/difference_natural/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_40k,difference_natural,0|1|2|3|42,5,0.53399,0.00026,0.52244|0.54583,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,,,,,NOT_APPLICABLE,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed."
EV-ARM-v2_04.product_576k.train_40k,ARM,v2_04,S04_FEATURE_ABLATION,SUPPORTING,v2_04/product_576k/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_40k,product_576k,0|1|2|3|42,5,0.53355,0.00312,0.52221|0.54505,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,,,,,NOT_APPLICABLE,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed."
EV-ARM-v2_04.product_natural.train_40k,ARM,v2_04,S04_FEATURE_ABLATION,SUPPORTING,v2_04/product_natural/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_40k,product_natural,0|1|2|3|42,5,0.53671,0.00101,0.52549|0.54847,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,,,,,NOT_APPLICABLE,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed."
EV-ARM-v2_06.concat.shuffled.train_40k,ARM,v2_06,S07_VISUAL_RELIANCE,CORE,v2_06/concat/shuffled/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_40k,concat,0|1|2|3|42,5,0.4069,0.00329,0.39702|0.41745,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,,,,,NOT_APPLICABLE,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. A drop under a wrong or removed image demonstrates reliance on the image. It is NOT proof of robust visual reasoning, of grounding or of compositional understanding. The question-only drop is exactly zero by construction and is a control, not a result."
EV-ARM-v2_06.fusion.shuffled.train_40k,ARM,v2_06,S07_VISUAL_RELIANCE,CORE,v2_06/fusion/shuffled/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_40k,fusion,0|1|2|3|42,5,0.3957,0.00258,0.38511|0.40684,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,,,,,NOT_APPLICABLE,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. A drop under a wrong or removed image demonstrates reliance on the image. It is NOT proof of robust visual reasoning, of grounding or of compositional understanding. The question-only drop is exactly zero by construction and is a control, not a result."
EV-ARM-v2_06.image_only.shuffled.train_40k,ARM,v2_06,S07_VISUAL_RELIANCE,CORE,v2_06/image_only/shuffled/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_40k,image_only,0|1|2|3|42,5,0.21076,0.01012,0.20234|0.21937,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,,,,,NOT_APPLICABLE,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. A drop under a wrong or removed image demonstrates reliance on the image. It is NOT proof of robust visual reasoning, of grounding or of compositional understanding. The question-only drop is exactly zero by construction and is a control, not a result."
EV-ARM-v2_06.product_576k.shuffled.train_40k,ARM,v2_06,S07_VISUAL_RELIANCE,CORE,v2_06/product_576k/shuffled/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_40k,product_576k,0|1|2|3|42,5,0.40539,0.002,0.3954|0.41618,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,,,,,NOT_APPLICABLE,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. A drop under a wrong or removed image demonstrates reliance on the image. It is NOT proof of robust visual reasoning, of grounding or of compositional understanding. The question-only drop is exactly zero by construction and is a control, not a result."
EV-ARM-v2_06.question_only.shuffled.train_40k,ARM,v2_06,S07_VISUAL_RELIANCE,CORE,v2_06/question_only/shuffled/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_40k,question_only,0|1|2|3|42,5,0.45797,0.0029,0.44717|0.46917,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,,,,,NOT_APPLICABLE,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. A drop under a wrong or removed image demonstrates reliance on the image. It is NOT proof of robust visual reasoning, of grounding or of compositional understanding. The question-only drop is exactly zero by construction and is a control, not a result."
EV-CON-E10.difference_in_differences,CON,E10,S12_ANSWER_SIDE_SLM_360M,CORE,E10/difference_in_differences,"paired contrast, effect in accuracy points",results/experiments/e10_capacity_360m_core/e10_core_analysis.json,37ffdcd09aa2bcd306ca9b54229a1d0d17ff203b6b0900e09e5f876ad1ed0748,v2_dev,train_40k vs train_250k,E10/difference_in_differences,0|1|2,3,0.00445,0.01815,-0.00709|0.01641,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,g21_pinned_normalised_exact_match,PRIMARY,CLEAN_PAIRED_CONTROL,READY,"fixed epoch 22, no early stopping; epoch 22 is the sole primary",false,VE0-FIG-08,VE0-TAB-05|VE0-TAB-A4,R6_QUESTION_SIDE_SLM|R7_ANSWER_SIDE_AND_CAPACITY|R_APPENDIX_STATISTICS,SLIDE-10-PRETRAINING-IS-INTERFACE-DEPENDENT,VE0-TAB-A4,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. Both pretraining-effect intervals contain zero and the seeds disagree in sign; they establish neither equivalence nor the absence of an effect. The 135M-to-360M step is whole-system capacity sensitivity, not an isolated causal language-model-size effect: trainable capacity moves too, 21,343,808 to 21,540,800 parameters, because the projection width follows the hidden size. The difference in differences is not directional; its interval contains zero. It gives no reliable evidence that any answer-side pretraining contribution grows with training scale."
